Player_Name,Date,School,Opponent,Type,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,URL,Class
desmond bane,2019-12-14,TCU,Lamar,REG,W,1,32,3,11,0.273,3,7,0.429,0,4,0,0,0,NA,2,3,5,4,1,0,0,1,6,https://www.sports-reference.com/cbb/players/desmond-bane-1/gamelog/2020,Senior
desmond bane,2019-12-22,TCU,Xavier,REG,L,1,39,5,16,0.313,3,9,0.333,2,7,0.286,2,2,1,4,6,10,3,3,0,2,4,14,https://www.sports-reference.com/cbb/players/desmond-bane-1/gamelog/2020,Senior
desmond bane,2019-12-30,TCU,George Mason,REG,W,1,32,12,16,0.75,7,9,0.778,5,7,0.714,1,1,1,0,6,6,4,2,1,1,2,30,https://www.sports-reference.com/cbb/players/desmond-bane-1/gamelog/2020,Senior
desmond bane,2020-01-04,TCU,Iowa State,REG,W,1,35,6,13,0.462,2,7,0.286,4,6,0.667,0,0,NA,0,8,8,2,1,0,2,4,16,https://www.sports-reference.com/cbb/players/desmond-bane-1/gamelog/2020,Senior
desmond bane,2020-01-07,TCU,Kansas State,REG,W,1,34,6,12,0.5,2,4,0.5,4,8,0.5,0,0,NA,1,2,3,3,0,0,1,3,16,https://www.sports-reference.com/cbb/players/desmond-bane-1/gamelog/2020,Senior
desmond bane,2020-01-11,TCU,Oklahoma State,REG,W,1,37,6,15,0.4,2,7,0.286,4,8,0.5,4,4,1,2,7,9,6,3,0,2,2,20,https://www.sports-reference.com/cbb/players/desmond-bane-1/gamelog/2020,Senior
desmond bane,2020-01-14,TCU,West Virginia,REG,L,1,27,4,8,0.5,2,3,0.667,2,5,0.4,3,4,0.75,1,3,4,1,0,0,4,3,13,https://www.sports-reference.com/cbb/players/desmond-bane-1/gamelog/2020,Senior
desmond bane,2020-01-18,TCU,Oklahoma,REG,L,1,39,5,14,0.357,3,4,0.75,2,10,0.2,0,0,NA,0,5,5,5,2,0,2,1,12,https://www.sports-reference.com/cbb/players/desmond-bane-1/gamelog/2020,Senior
desmond bane,2020-01-21,TCU,Texas Tech,REG,W,1,35,10,15,0.667,4,7,0.571,6,8,0.75,1,2,0.5,0,6,6,3,3,0,2,1,27,https://www.sports-reference.com/cbb/players/desmond-bane-1/gamelog/2020,Senior
desmond bane,2020-01-25,TCU,Arkansas,REG,L,1,37,3,6,0.5,1,3,0.333,2,3,0.667,0,0,NA,1,1,2,5,0,0,1,4,8,https://www.sports-reference.com/cbb/players/desmond-bane-1/gamelog/2020,Senior
